Data Stream,OvR-DA,OvR (GT),Bagging OvR-DA,HT,HT (DDM),EFHT,ADWINBagging,ARF,AdaBoost,SRP
SYNTH-1,2.6,2.3,24.0,1.0,2.2,8.5,24.2,6.3,8.2,20.9
SYNTH-2,2.8,2.7,28.3,1.0,2.5,11.4,29.1,6.6,9.7,25.0
SYNTH-3,3.1,2.9,32.7,1.0,2.7,11.3,32.6,6.5,11.1,25.6
SYNTH-4,2.6,2.4,23.6,1.0,2.2,8.2,23.8,6.5,7.7,21.2
SYNTH-5,2.8,2.6,29.2,1.0,2.5,11.5,28.8,6.5,9.7,24.8
SYNTH-6,3.1,2.9,33.1,1.0,2.7,11.1,33.7,6.6,11.2,26.5
SYNTH-7,2.6,2.2,22.4,1.0,2.1,7.2,22.3,6.1,7.2,20.3
SYNTH-8,3.0,2.7,29.9,1.0,2.6,11.6,29.6,6.6,9.9,25.3
SYNTH-9,3.2,2.8,31.9,1.0,2.7,10.4,33.5,6.6,11.6,26.7
SYNTH-10,2.6,2.4,23.3,1.0,2.4,7.7,22.4,6.4,7.3,21.0
SYNTH-11,3.0,2.6,29.4,1.0,2.4,11.6,29.3,6.5,9.4,25.2
SYNTH-12,3.0,2.9,29.1,1.0,2.6,10.3,31.3,6.6,11.5,25.6
SEMI-SYNTH-1,2.4,2.2,19.6,1.0,2.0,11.2,22.5,4.2,8.1,20.1
SEMI-SYNTH-2,2.2,2.3,22.4,1.0,2.2,9.9,22.6,4.3,9.0,21.1
SEMI-SYNTH-3,2.8,2.5,28.4,1.0,2.7,12.9,27.9,5.2,11.4,26.4
SEMI-SYNTH-4,2.8,2.5,28.9,1.0,2.8,12.9,28.6,5.2,10.9,26.2
SEMI-SYNTH-5,2.1,2.2,22.4,1.0,2.2,11.8,22.5,4.2,9.0,22.0
SEMI-SYNTH-6,2.3,2.2,22.5,1.0,2.3,11.4,19.9,3.5,9.1,20.5
SEMI-SYNTH-7,2.3,2.1,21.5,1.0,2.8,9.4,21.8,4.1,8.8,20.4
SEMI-SYNTH-8,2.4,2.2,19.8,1.0,2.8,10.2,22.5,4.3,9.1,19.3
SEMI-SYNTH-9,2.6,2.5,25.9,1.0,1.9,13.1,27.0,5.1,11.0,26.0
SEMI-SYNTH-10,2.6,2.4,27.8,1.0,1.9,13.6,27.2,4.9,11.0,26.3
SEMI-SYNTH-11,2.2,2.0,20.6,1.0,2.2,7.3,20.3,3.6,7.5,19.1
SEMI-SYNTH-12,2.2,2.0,17.6,1.0,2.3,8.7,20.8,3.6,7.5,18.7
SEMI-SYNTH-13,2.1,2.2,22.9,1.0,1.8,12.7,23.3,3.6,8.1,19.2
SEMI-SYNTH-14,2.5,2.1,21.3,1.0,2.1,12.3,24.5,3.5,9.3,20.4
SEMI-SYNTH-15,2.3,2.1,19.3,1.0,2.3,9.6,19.2,3.6,9.1,20.7
SEMI-SYNTH-16,2.2,2.3,23.2,1.0,1.7,9.1,22.7,4.1,9.5,19.4