L0,id,n_class,ADWINBagging,ADWINBagging,ARF,ARF,AdaBoost,AdaBoost,Bagging-CIDDM,Bagging-CIDDM,Bagging-GT,Bagging-GT,DDM-HT,DDM-HT,EFHT,EFHT,HT,HT,LB,LB,OneVsAll-CIDDM,OneVsAll-CIDDM,OneVsAll-DDM,OneVsAll-DDM,OneVsAll-GT,OneVsAll-GT,OneVsAll-NC,OneVsAll-NC,SRP,SRP
L1,,,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift,Global,Local Drift
0,swap_cluster_global_gradual,10,0.9265904170062356,0.8792275117870726,0.5637919697846863,0.5243069812498358,0.8938399901721324,0.8422285246913281,0.9321779490943164,0.8912529380930513,0.9589167220099604,0.968046839389827,0.6693834935089106,0.4442734482018075,0.7720634980674914,0.5346511986659854,0.5561188707903626,0.3431429856732704,0.927050807508276,0.8752270697007515,0.903807572512033,0.8555901869449516,0.8614358217009083,0.7448014848029868,0.9310593906883606,0.9223585633519022,0.7637867199485163,0.5649098100885003,0.753975063695412,0.7056244893280518
1,swap_cluster_global_gradual,15,0.8592561888157091,0.7310041067935951,0.4045670417861038,0.4006299306621382,0.7762339747965488,0.7209538178010149,0.860711597260919,0.7354979678594417,0.9378717677724416,0.9620874792820988,0.5048351360703084,0.2768477707523966,0.7311193918074939,0.6919205494687192,0.5372354348767924,0.4028193090926837,0.8439193648377746,0.7050784817127479,0.797887378599696,0.6994001870994788,0.7372903232800011,0.5571085311439994,0.8993918948722008,0.94022747099919,0.6601649845031069,0.4732272815933447,0.3945335027989992,0.384689262093454
2,swap_cluster_global_gradual,5,0.9358136158371568,0.8775764127539891,0.8887166244047138,0.8843026490279023,0.9412233502564136,0.9386301915031564,0.9329709995683096,0.8717109836317024,0.9165368956585684,0.827621058038332,0.8754546458523192,0.822152092666058,0.9015129540939124,0.8114717178238038,0.7797787319713457,0.6401381467525378,0.941798848750646,0.896555120258984,0.9160240793174692,0.8501680362580669,0.9404604552586296,0.9159915866144394,0.8955038566619862,0.7901981499039996,0.8108525945248977,0.6122733503062033,0.9529683728111288,0.9443227137513232
3,swap_cluster_global_sudden,10,0.9298878914043884,0.8450970029311511,0.6008003731802192,0.5677042261547834,0.8641737650061412,0.7717333160110642,0.94296363909146,0.8791603988907798,0.9705525087020004,0.9573918980986128,0.7750105796130998,0.6889749721723069,0.8255891290865744,0.627424080354453,0.6378266388838034,0.3948607229471362,0.9337958883472748,0.8631454360262559,0.908755267192886,0.8337117757937063,0.8581289728072578,0.6994429403462804,0.9525490074853388,0.9427735481055616,0.7611342045621061,0.5372677298796845,0.7618541458378798,0.7553971857481984
4,swap_cluster_global_sudden,15,0.8708471597134989,0.724162771782374,0.4287006840122884,0.4192204900217234,0.7668943990093198,0.6899663394079388,0.8731108173011086,0.7364190065761921,0.9641959580028028,0.973545050441705,0.6177560832784301,0.495181436928796,0.7628251167464505,0.7543552282447746,0.5552147636550352,0.3978192247280067,0.8637685304614523,0.7162543781485589,0.8387484412472622,0.7452770471608301,0.6744055214519935,0.4895362210543259,0.9010112042726112,0.9104267305806644,0.6744055214519935,0.4895362210543259,0.4174704364379309,0.4156863585398204
5,swap_cluster_global_sudden,5,0.9645864068170928,0.9203961133263212,0.9080710498743332,0.907435208233391,0.9633760269833136,0.9695546116235328,0.9619234775496815,0.913175727814897,0.945812644720262,0.8729228354210835,0.90079848084004,0.8464667777977852,0.935622260103837,0.865332061917346,0.7092986121826931,0.5433114485084316,0.9662802136239896,0.9234333732161636,0.9623459060497068,0.927031004859925,0.957604082170918,0.9125079246669058,0.9064083369499102,0.7907669403486549,0.8865064451736604,0.7668732460619745,0.9765913027192512,0.9691061263825396
6,swap_cluster_local_gradual,10,0.938277016968562,0.8870308154612151,0.5993238802464176,0.604360728576317,0.9234439357101306,0.904973546055774,0.9466156582679104,0.9112364719724356,0.9650018700361344,0.95445283867412,0.8597853743560907,0.846051931367751,0.8876582714592964,0.8377160232731824,0.8177546478688756,0.7572488511369477,0.9340398339272948,0.877422182950382,0.9143609222288984,0.8622991691093315,0.9080767685226726,0.8552680802562922,0.9289154595019145,0.904434581002358,0.8618445591281964,0.7794335090156104,0.7792249649370818,0.7351893125177345
7,swap_cluster_local_gradual,15,0.9351518115288358,0.9219483350884512,0.5217966621108685,0.5570017959326353,0.8157246691316125,0.8358434773546122,0.9334184787387048,0.9166218345773196,0.9554096589704724,0.963116069347755,0.7543638303580167,0.7713104501767887,0.7359399139426491,0.7529409798131904,0.801732823070977,0.833046438527977,0.9371480171372348,0.9206471227456154,0.8650653846479901,0.8534051928985295,0.8341322704390206,0.7935217832861671,0.8848894921103805,0.9001030022663209,0.8341322704390206,0.7935217832861671,0.5365819085200921,0.5930896566502004
8,swap_cluster_local_gradual,5,0.9673488396093692,0.9476287318496418,0.9190084081548314,0.924213679845352,0.9585728049393624,0.9756521444360596,0.9660304948015708,0.9444438746749658,0.9671366566091384,0.9474922183747816,0.8730236804683638,0.8605232801546606,0.9441012617006076,0.8993096792492812,0.7961758045223041,0.7271044849783128,0.9670597905752366,0.9471579837023096,0.9474713159367184,0.9052753325231786,0.9569109914792632,0.9304546228395406,0.9434849337187003,0.9064656737517608,0.8941212080237619,0.7941952810000846,0.9615310730517846,0.9650645273672736
9,swap_cluster_local_sudden,10,0.9453080909274766,0.8883013171313934,0.6064124960088866,0.612066738587096,0.914592514562516,0.8838069936742977,0.9451157382568302,0.8908959855102235,0.9529662469467056,0.9394628091138666,0.8703636049062701,0.7905774452219195,0.8957607880730443,0.8357316594353692,0.8188848334855139,0.7440998909397242,0.944273531271248,0.8868439949067783,0.9300890204569756,0.8931650123127103,0.906146543805402,0.8324702071242417,0.956528459155498,0.9561085716381522,0.8857288225551099,0.8173190268561034,0.7704842128350199,0.7439384044013045
10,swap_cluster_local_sudden,15,0.940065394519773,0.9142466850459452,0.5257619072567203,0.5600865784359786,0.79839339648064,0.771583833012551,0.9380189181912462,0.9080452833803838,0.9565317481684223,0.9599374436985374,0.7768505703105478,0.7941098254576562,0.7315443388011201,0.732671595984932,0.8045157782193652,0.8209951891339471,0.934890313796739,0.9040850641812388,0.8791169919873836,0.8547060784470359,0.8513867303789333,0.8090810801559059,0.8890998411319474,0.8987076152056847,0.8513867303789333,0.8090810801559059,0.5351256779994941,0.5712320523718478
11,swap_cluster_local_sudden,5,0.9780832748576002,0.9543777460333344,0.939745118988335,0.9239036905688252,0.9704011317239206,0.9859172850493696,0.9736218500750278,0.9439833846846992,0.9712607241249686,0.9391564870031014,0.8872478923024082,0.8018956657689551,0.9662253775964166,0.9397069421111872,0.8510508169423817,0.7848344321919148,0.9758886447118054,0.9495741767855914,0.9708492470700912,0.9487740368132987,0.9671387422555346,0.93658406714904,0.948680822827022,0.8878803707573504,0.8946762295704791,0.7896824649936879,0.9779642596675449,0.9764576097098344
